state ,Code,FIPS,Salary
Alabama,AL,1,57211
Alaska,AK,2,73437
Arizona,AZ,4,64641
Arkansas,AR,5,64652
California,CA,6,67777
Colorado,CO,8,66384
Connecticut,CT,9,75937
Delaware,DE,10,66396
Florida,FL,12,55451
Georgia,GA,13,51700
Hawaii,HI,15,76903
Idaho,ID,16,67102
Illinois,IL,17,61049
Indiana,IN,18,62673
Iowa,IA,19,70529
Kansas,KS,20,66310
Kentucky,KY,21,62770
Louisiana,LA,22,61309
Maine,ME,23,63536
Maryland,MD,24,69743
Massachusetts,MA,25,77143
Michigan,MI,26,62709
Minnesota,MN,27,76580
Mississippi,MS,28,64662
Missouri,MO,29,60436
Montana,MT,30,63305
Nebraska,NE,31,66854
Nevada,NV,32,75893
New Hampshire,NH,33,69059
New Jersey,NJ,34,66800
New Mexico,NM,35,70344
New York,NY,36,73275
North Carolina,NC,37,55181
North Dakota,ND,38,72382
Ohio,OH,39,72553
Oklahoma,OK,40,63137
Oregon,OR,41,73253
Pennsylvania,PA,42,60463
Rhode Island,RI,44,74359
South Carolina,SC,45,65466
South Dakota,SD,46,68820
Tennessee,TN,47,78582
Texas,TX,48,59450
Utah,UT,49,70843
Vermont,VT,50,67148
Virginia,VA,51,68476
Washington,WA,53,73974
West Virginia,WV,54,61594
Wisconsin,WI,55,73671
Wyoming,WY,56,64156
